season,playoff,play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,game_date,quarter_seconds_remaining,game_seconds_remaining,game_half,sp,qtr,down,time,yrdln,ydstogo,desc,play_type,field_goal_result,kick_distance,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,score_differential,opp_fg_prob,field_goal_attempt,kicker_player_name,kicker_player_id,type,iced,overtime
2010,reg,3987,2010091209,PIT,ATL,PIT,home,ATL,ATL,2010-09-12,43.0,43.0,Half2,0,4,4.0,00:43,ATL 21,1,"(:43) (Field Goal formation) J.Reed 40 yard field goal is No Good, Wide Right, Center-G.Warren, Holder-D.Sepulveda.",field_goal,missed,40.0,1,0,0.0,,1.0,0.0,9.0,9.0,0.0,0.020452951890455803,1.0,J.Reed,00-0020737,off_timeout,non_iced,0
2010,reg,4282,2010091900,WAS,HOU,WAS,home,HOU,HOU,2010-09-19,438.0,438.0,Overtime,0,5,4.0,07:18,HOU 34,7,"(7:18) G.Gano 52 yard field goal is No Good, Wide Right, Center-N.Sundberg, Holder-J.Bidwell.",field_goal,missed,52.0,2,1,0.0,,2.0,1.0,27.0,27.0,0.0,0.08694754421045407,1.0,G.Gano,00-0026858,iced,iced,1
2010,reg,4584,2010091900,WAS,HOU,HOU,away,WAS,WAS,2010-09-19,210.0,210.0,Overtime,1,5,3.0,03:30,WAS 17,9,"(3:30) N.Rackers 35 yard field goal is GOOD, Center-J.Weeks, Holder-M.Turk.",field_goal,made,35.0,2,1,0.0,,1.0,2.0,27.0,27.0,0.0,0.012235887111174659,1.0,N.Rackers,00-0019676,no_timeout,non_iced,1
2010,reg,4306,2010092000,SF,NO,NO,away,SF,SF,2010-09-20,2.0,2.0,Half2,1,4,3.0,00:02,SF 19,11,"(:02) G.Hartley 37 yard field goal is GOOD, Center-J.Kyle, Holder-T.Morstead. Field goal deflected",field_goal,made,37.0,0,0,0.0,,0.0,0.0,22.0,22.0,0.0,0.0,1.0,G.Hartley,00-0025824,no_timeout,non_iced,0
2010,reg,3783,2010092606,NO,ATL,NO,home,ATL,ATL,2010-09-26,9.0,9.0,Half2,1,4,2.0,00:09,ATL 15,10,"(:09) G.Hartley 32 yard field goal is GOOD, Center-J.Kyle, Holder-T.Morstead.",field_goal,made,32.0,0,3,0.0,,0.0,3.0,21.0,24.0,-3.0,0.006918417990720621,1.0,G.Hartley,00-0025824,no_timeout,non_iced,0
2010,reg,4588,2010092606,NO,ATL,ATL,away,NO,NO,2010-09-26,120.0,120.0,Overtime,1,5,4.0,02:00,NO 28,7,"(2:00) M.Bryant 46 yard field goal is GOOD, Center-J.Zelenka, Holder-M.Koenen.",field_goal,made,46.0,0,0,0.0,,0.0,0.0,24.0,24.0,0.0,0.046696731866453095,1.0,M.Bryant,00-0020578,no_timeout,non_iced,1
2010,reg,4619,2010092612,ARI,OAK,OAK,away,ARI,ARI,2010-09-26,4.0,4.0,Half2,0,4,3.0,00:04,ARI 14,11,"(:04) S.Janikowski 32 yard field goal is No Good, Wide Left, Center-J.Condo, Holder-S.Lechler.",field_goal,missed,32.0,0,0,0.0,,0.0,0.0,23.0,24.0,-1.0,0.0,1.0,S.Janikowski,00-0019646,off_timeout,non_iced,0
2010,reg,4159,2010092700,CHI,GB,CHI,home,GB,GB,2010-09-27,8.0,8.0,Half2,1,4,4.0,00:08,GB 1,1,"(:08) R.Gould 19 yard field goal is GOOD, Center-P.Mannelly, Holder-B.Maynard.",field_goal,made,19.0,0,0,0.0,,0.0,0.0,16.0,19.0,-3.0,0.0004480572655045767,1.0,R.Gould,00-0023252,off_timeout,non_iced,0
2010,reg,3865,2010100308,JAC,IND,JAC,home,IND,IND,2010-10-03,5.0,5.0,Half2,1,4,2.0,00:05,IND 41,10,"(:05) J.Scobee 59 yard field goal is GOOD, Center-J.Cain, Holder-A.Podlesh.",field_goal,made,59.0,1,1,0.0,,1.0,1.0,28.0,28.0,0.0,0.0,1.0,J.Scobee,00-0022874,iced,iced,0
2010,reg,4062,2010101003,WAS,GB,GB,away,WAS,WAS,2010-10-10,7.0,7.0,Half2,0,4,2.0,00:07,WAS 35,10,"(:07) M.Crosby 53 yard field goal is No Good, Hit Left Upright, Center-B.Goode, Holder-T.Masthay.",field_goal,missed,53.0,1,0,0.0,,0.0,1.0,13.0,13.0,0.0,0.06551619591843771,1.0,M.Crosby,00-0025580,no_timeout,non_iced,0
